28 Jun 2022,Tue 11:53:19 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.5118435060326473, 'recall': 0.38059327195350845, 'precision': 0.7853208954783121, 'f1': 0.24011183127065167, 'cm': [[9234, 0, 477, 0, 0], [2243, 0, 5215, 0, 0], [116, 0, 2305, 0, 0], [2511, 0, 243, 0, 0], [90, 0, 110, 0, 0]]}
28 Jun 2022,Tue 11:53:29 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.511444286728176, 'recall': 0.37978776223950234, 'precision': 0.7849002739750673, 'f1': 0.2398779320894064, 'cm': [[9235, 0, 476, 0, 0], [2312, 0, 5146, 0, 0], [126, 0, 2295, 0, 0], [2510, 0, 244, 0, 0], [90, 0, 110, 0, 0]]}
28 Jun 2022,Tue 11:53:38 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.5142831795599716, 'recall': 0.3816019774455749, 'precision': 0.7859414996320153, 'f1': 0.24107033361751232, 'cm': [[9291, 0, 420, 0, 0], [2255, 0, 5203, 0, 0], [118, 0, 2303, 0, 0], [2493, 0, 261, 0, 0], [90, 0, 110, 0, 0]]}
28 Jun 2022,Tue 11:53:48 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.5119765791341376, 'recall': 0.38015893523574806, 'precision': 0.7851269036766071, 'f1': 0.24009405767271316, 'cm': [[9245, 0, 466, 0, 0], [2282, 0, 5176, 0, 0], [124, 0, 2297, 0, 0], [2516, 0, 238, 0, 0], [90, 0, 110, 0, 0]]}
28 Jun 2022,Tue 11:53:58 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_1', 'accuracy': 0.5123314407381121, 'recall': 0.38057175800715015, 'precision': 0.7853429142457184, 'f1': 0.2402696585688565, 'cm': [[9249, 0, 462, 0, 0], [2256, 0, 5202, 0, 0], [120, 0, 2301, 0, 0], [2516, 0, 238, 0, 0], [90, 0, 110, 0, 0]]}
28 Jun 2022,Tue 11:54:09 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.4566181689141235, 'recall': 0.2662442984045159, 'precision': 0.6272693216598065, 'f1': 0.22261186741451403, 'cm': [[9302, 0, 259, 150, 0], [6592, 0, 307, 559, 0], [2157, 0, 263, 1, 0], [1277, 0, 748, 729, 0], [152, 0, 8, 40, 0]]}
28 Jun 2022,Tue 11:54:18 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.43412881476224274, 'recall': 0.21192178876596848, 'precision': 0.721748509757056, 'f1': 0.14258467446792072, 'cm': [[9620, 0, 91, 0, 0], [7440, 0, 18, 0, 0], [2254, 0, 167, 0, 0], [2005, 0, 749, 0, 0], [191, 0, 9, 0, 0]]}
28 Jun 2022,Tue 11:54:28 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.4331973030518098, 'recall': 0.21080712134593088, 'precision': 0.7194779279398956, 'f1': 0.14118047776231743, 'cm': [[9610, 0, 101, 0, 0], [7440, 0, 18, 0, 0], [2265, 0, 156, 0, 0], [2003, 0, 751, 0, 0], [190, 0, 10, 0, 0]]}
28 Jun 2022,Tue 11:54:38 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.43359652235628104, 'recall': 0.2131630133152953, 'precision': 0.7240862082322638, 'f1': 0.14474543981963245, 'cm': [[9584, 0, 127, 0, 0], [7440, 0, 18, 0, 0], [2230, 0, 191, 0, 0], [2001, 0, 753, 0, 0], [188, 0, 12, 0, 0]]}
28 Jun 2022,Tue 11:54:47 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.4347054648687012, 'recall': 0.21584842850574923, 'precision': 0.728776112975399, 'f1': 0.14843037871142264, 'cm': [[9574, 0, 137, 0, 0], [7440, 0, 18, 0, 0], [2195, 0, 226, 0, 0], [1996, 0, 758, 0, 0], [188, 0, 12, 0, 0]]}
